name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
A New Story,saas|software,Albi,https://anewstory.fr/,,,,,Logiciels métier,2026-09-24
DevCom81,software,Albi,https://devcom81.fr/,,,,,Logiciels sur mesure,2026-09-24
DigiTarn,ai|software,Albi,https://digi-tarn.fr/,,,,,Automatisation IA,2026-09-24
Enciris Technologies,software,Gaillac,https://www.enciris.com/,,,,11-50,Éditeur de logiciels,2026-09-24
EPREYN,saas|software,Saint-Sulpice-la-Pointe,https://epreyn.com/,,,React|Laravel,,Applications métier,2026-09-24
ID Consulting,software,Réalmont,https://id-consulting.fr/,,,,,Logiciels de gestion,2026-09-24
IMS Networks,cybersecurity|telecom,Castres,https://www.imsnetworks.com/,,,,51-1000,Cybersécurité et réseau,2026-09-24
Inforsud Technologies,cybersecurity|software,Le Sequestre,https://inforsud-technologies.com/,,,,51-1000,ESN,2026-09-24
Ocore,cybersecurity|software,Castres,https://ocore.fr/,,,,,Logiciels métier,2026-09-24
Pierre Fabre,healthtech|industrial,Castres,https://www.pierre-fabre.com/,,,,1000+,R&D santé et IT,2026-09-24
Sirea,energy|industrial|software,Castres,https://www.sirea.fr/,,,,51-1000,Automatisme industriel,2026-09-24
Tialys,cybersecurity|software,Albi,https://www.tialys.com/,,,,,Infogérance,2026-09-24
