name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
Acapela Group,software,Nantes,https://www.acapela-group.com,,,,51-1000,Éditeur de logiciels de synthèse vocale,2026-09-24
Airbus Atlantic,industrial,Bouguenais,https://www.airbus.com,,,,,R&D et production aéronautique,2026-09-25
Akeneo,software,Nantes,https://www.akeneo.com,,,,51-1000,Éditeur SaaS PIM,2026-09-24
Akkodis,it-services,Nantes,https://www.akkodis.com,,,,1000+,ESN & ingénierie R&D,2026-09-24
Algo-Scribe,software,Nantes,https://www.algo-scribe.fr,,,,1-10,Éditeur de logiciels,2026-09-24
Alten,it-services,Nantes,https://www.alten.com,,,,,Conseil en ingénierie et IT,2026-09-25
Amarris Groupe,fintech,Saint-Herblain,https://www.amarris.fr,,,,51-1000,Équipe SI & logiciels comptables,2026-09-24
Apside,it-services,Nantes,https://www.apside.com,,,,1000+,ESN & conseil en technologies,2026-09-24
Arribas,it-services,Nantes,https://www.arribas.fr,,,,11-50,ESN & développement sur-mesure,2026-09-24
ASI,it-services,Saint-Herblain,https://www.asi.fr,,,,,Conseil data et numérique,2026-09-25
Atos,it-services,Nantes,https://atos.net,,,,1000+,ESN & services numériques,2026-09-24
Capgemini,it-services,Nantes,https://www.capgemini.com,,,,1000+,ESN & conseil en technologie,2026-09-24
CGI France,it-services,Nantes,https://www.cgi.com/france,,,,1000+,ESN & conseil IT,2026-09-24
Chantiers de l'Atlantique,industrial,Saint-Nazaire,https://chantiers-atlantique.com,,,,1000+,R&D & ingénierie logicielle industrielle,2026-09-24
CHRU de Nantes (DSI),healthtech,Nantes,https://www.chu-nantes.fr,,,,1000+,Équipe informatique hospitalière,2026-09-24
Claranet,it-services,Nantes,https://www.claranet.fr,,,,51-1000,Infogérance & services cloud,2026-09-24
Clever Cloud,software,Nantes,https://www.clever-cloud.com,,,,11-50,Plateforme PaaS & cloud computing,2026-09-24
Conserto,it-services,Nantes,https://conserto.pro,,,,,ESN et conseil numérique,2026-09-25
Diatly,software,Nantes,https://www.diatly.com,,,,11-50,SaaS gestion de marketplaces,2026-09-24
Docaposte,software,Nantes,https://www.docaposte.com,,,,1000+,Solutions numériques & confiance digitale,2026-09-24
Econocom,it-services,Nantes,https://www.econocom.com,,,,1000+,ESN & services numériques,2026-09-24
EDF Lab,energy,Nantes,https://www.edf.fr,,,,1000+,R&D & ingénierie logicielle,2026-09-24
GIE Iris (Groupe BPCE),banking,Nantes,https://www.bpce.fr,,,,1000+,GIE informatique bancaire,2026-09-24
Groupe Sigma,it-services,La Chapelle-sur-Erdre,https://www.sigma.fr,,,,,Éditeur et services numériques,2026-09-25
Groupe SII,it-services,Nantes,https://sii-group.com,,,,,ESN et ingénierie,2026-09-25
Iadvize,software,Nantes,https://www.iadvize.com,,,,51-1000,SaaS IA générative & relation client,2026-09-24
Inria Centre Nantes Université,deeptech,Nantes,https://www.inria.fr,,,,51-1000,Institut de recherche en numérique,2026-09-24
Inserm / Laboratoire LS2N,deeptech,Nantes,https://www.ls2n.fr,,,,51-1000,Recherche informatique & robotique,2026-09-24
Keolis Nantes,it-services,Nantes,https://www.tan.fr,,,,1000+,Systèmes d'information transport,2026-09-24
Kipet,software,Nantes,https://www.kipet.fr,,,,1-10,SaaS & solutions numériques,2026-09-24
Kosmos,edtech,Nantes,https://www.kosmos.education,,,,,Éditeur de logiciels éducatifs,2026-09-25
Lengow,software,Nantes,https://www.lengow.com,,,,51-1000,SaaS e-commerce & automatisation,2026-09-24
Lhyfe,energy,Nantes,https://www.lhyfe.com,,,,,Technologies hydrogène et numérique,2026-09-25
Lucca,software,Nantes,https://www.lucca.fr,,,,51-1000,Éditeur SaaS de gestion RH,2026-09-24
Maisons du Monde,ecommerce,Vertou,https://corporate.maisonsdumonde.com,,,,,Équipes e-commerce et data,2026-09-25
Manitou Group,industrial,Ancenis-Saint-Géréon,https://www.manitou-group.com,,,,,R&D industrielle et logiciels embarqués,2026-09-25
Nantes Métropole (DSI),public-sector,Nantes,https://metropole.nantes.fr,,,,1000+,Équipe informatique locale,2026-09-24
Nantes Université (Direction du Numérique),public-sector,Nantes,https://www.univ-nantes.fr,,,,1000+,Équipe informatique & R&D,2026-09-24
Naval Group,industrial,Indre,https://www.naval-group.com,,,,1000+,R&D & ingénierie navale numérique,2026-09-24
Néosoft,it-services,Nantes,https://www.neosoft.fr,,,,,ESN et conseil numérique,2026-09-25
Niji,it-services,Nantes,https://www.niji.fr,,,,51-1000,ESN & conseil numérique,2026-09-24
Obeo,software,Nantes,https://www.obeosoft.com,,,,11-50,Éditeur de logiciels d'ingénierie système,2026-09-24
Open,it-services,Nantes,https://www.open.global,,,,1000+,ESN & services du numérique,2026-09-24
Orange (Direction Régionale Grand Ouest),telecom,Nantes,https://www.orange.fr,,,,1000+,Infrastructures réseaux & IT,2026-09-24
Proginov,software,La Chevrolière,https://www.proginov.com,,,,51-1000,Éditeur ERP & hébergeur cloud,2026-09-24
Sopra Steria,it-services,Nantes,https://www.soprasteria.com,,,,1000+,ESN & conseil informatique,2026-09-24
Symphony RetailAI,software,Nantes,https://www.symphonyai.com,,,,51-1000,SaaS & IA pour la grande distribution,2026-09-24
Système U (GIE U-IRIS),ecommerce,Carquefou,https://www.magasins-u.com,,,,1000+,DSI & informatique groupe,2026-09-24
Vianavigo / Kisio,software,Nantes,https://www.kisio.com,,,,51-1000,Solutions digitales & data transport,2026-09-24
Visionic,industrial,Nantes,https://www.visionic.fr,,,,11-50,Vision industrielle & IA,2026-09-24
