name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
Applan,saas|software,La Roche-sur-Yon,https://applan.io/,,,,1-10,Logiciel de métrés,2026-09-24
Arkaï Interactive,gaming|industrial|software,Talmont-Saint-Hilaire,https://www.arkaï.fr/,,,,1-10,Applications 3D et réalité virtuelle,2026-09-24
Bénéteau,industrial|software,Saint-Gilles-Croix-de-Vie,https://www.beneteau-group.com/,https://careers.beneteau-group.com/,,,1000+,R&D nautique et systèmes embarqués,2026-09-24
CarboneIO,saas|software,Saint-Gilles-Croix-de-Vie,https://carbone.io/,,,,1-10,Génération automatisée de documents,2026-09-24
Ceralis,software,La Roche-sur-Yon,https://www.ceralis.fr/,,,,11-50,Logiciels de gestion sur mesure,2026-09-24
Codes Rousseau,saas|software,Les Sables-d'Olonne,https://public.codesrousseau.fr/,https://public.codesrousseau.fr/recrutement/,,,51-1000,Éditeur de logiciels pédagogiques,2026-09-24
Cougnaud,industrial|software,Mouilleron-le-Captif,https://www.cougnaud.com/,https://www.cougnaud.com/recrutement/,,,1000+,R&D construction hors-site,2026-09-24
Daan Tech,industrial|software,Cugand-la-Bernardière,https://daan.tech/,https://daan.tech/fr/recrutement/,,,51-1000,R&D électroménager connecté,2026-09-24
DAQSAN,cybersecurity|software,La Roche-sur-Yon,https://daqsan.com/fr/,,,,11-50,Gouvernance et protection des données,2026-09-24
DGT Concept,saas|software,Les Sables-d'Olonne,https://www.dgt-concept.com/,,,,1-10,Logiciels de digital learning,2026-09-24
Différence Informatique,software,La Roche-sur-Yon,https://www.difference-informatique.fr/,,,,11-50,ESN,2026-09-24
DIGITEMIS,cybersecurity,La Roche-sur-Yon,https://www.digitemis.com/,https://www.digitemis.com/recrutement/,,,51-1000,Cybersécurité et conformité,2026-09-24
Fleury Michon,industrial|software,Pouzauges,https://www.fleurymichon.fr/,https://recrutement.fleurymichon.fr/,,,1000+,Équipe informatique groupe,2026-09-24
France Nuage,cybersecurity|software,Chantonnay,https://france-nuage.fr/,,,,1-10,Cloud souverain,2026-09-24
Groupe Atlantic,energy|industrial|software,La Roche-sur-Yon,https://www.groupe-atlantic.fr/,https://www.groupe-atlantic.fr/carrieres,,,1000+,R&D industrielle et logiciels embarqués,2026-09-24
Groupe Dubreuil,software,Bellevigny,https://www.groupedubreuil.com/,https://www.groupedubreuil.com/recrutement/,,,1000+,Équipe informatique groupe,2026-09-24
GroupeFBO,saas|software,La Roche-sur-Yon,https://groupefbo.com/,,,,11-50,Éditeur de logiciels,2026-09-24
Gustav by Cocktail,industrial|software,La Roche-sur-Yon,https://www.gustavbycocktail.com/,,,,11-50,Solutions digitales immersives,2026-09-24
Image-Charts,saas|software,Chantonnay,https://www.image-charts.com/,,,,1-10,API de génération de graphiques,2026-09-24
Innlog,saas|software,Les Sables-d'Olonne,https://www.innlog.fr/,,,,11-50,Éditeur de logiciels logistiques,2026-09-24
K Technologies,software,La Meilleraie-Tillay,https://www.k-techno.fr/,,,,1-10,Développement logiciel sur mesure,2026-09-24
Lhyfe,energy|industrial,Bouin,https://www.lhyfe.com/,https://www.lhyfe.com/fr/nous-rejoindre/,,,51-1000,Technologies hydrogène vert,2026-09-24
Makidoo,ai|saas|software,La Roche-sur-Yon,https://makidoo.io/,,,,11-50,Montage vidéo automatisé,2026-09-24
OCode,cybersecurity|software,La Roche-sur-Yon,https://o-code.co/,,,,11-50,Identité numérique et traçabilité,2026-09-24
Sepro Group,industrial|software,La Roche-sur-Yon,https://www.sepro-group.com/,https://www.sepro-group.com/fr_FR/carrieres,,,51-1000,Logiciels et robotique industrielle,2026-09-24
Sodebo,industrial|software,Montaigu-Vendée,https://www.sodebo.com/,https://carrieres.sodebo.fr/,,,1000+,Équipe informatique groupe,2026-09-24
Sphinx Connect France,industrial|software|telecom,Montaigu-Vendée,https://www.sphinxfrance.fr/,,,,11-50,IoT et réseaux industriels,2026-09-24
Symalean,saas|software,Les Achards,https://www.symalean.com/,,,,11-50,Éditeur de logiciels QHSE,2026-09-24
Tame-Care,healthtech|industrial|software,Saint-Philbert-de-Bouaine,https://www.tame-care.com/fr/,,,,51-1000,R&D dispositifs médicaux actifs,2026-09-24
Tronico,industrial|software,Saint-Philbert-de-Bouaine,https://www.tronico-alcen.com/,https://www.tronico-alcen.com/carrieres/,,,51-1000,Électronique et logiciels embarqués,2026-09-24
