name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
Acolad Digital,IT Services,Manosque,https://www.acolad.com,,,,51-1000,Services numériques & ingénierie,2026-09-24
Alpes-de-Haute-Provence Département (DSI),Public Sector,Digne-les-Bains,https://www.mondepartement04.fr,,,,1000+,Équipe informatique locale,2026-09-24
Arkema (Site de Saint-Auban),Industry,Château-Arnoux-Saint-Auban,https://www.arkema.com,,,,1000+,Équipe SI industrielle locale,2026-09-24
Caisse Régionale du Crédit Agricole Alpes Provence,Fintech / Insurtech,Manosque,https://www.credit-agricole.fr/ca-alpesprovence/,,,,1000+,Équipe informatique locale,2026-09-24
Centre Hospitalier de Digne-les-Bains (DSI),Healthtech,Digne-les-Bains,https://www.ch-digne.fr,,,,1000+,Équipe informatique hospitalière,2026-09-24
Centre Hospitalier de Manosque (DSI),Healthtech,Manosque,https://www.ch-manosque.fr,,,,51-1000,Équipe informatique hospitalière,2026-09-24
Digne-les-Bains (Direction des Systèmes d'Information),Public Sector,Digne-les-Bains,https://www.dignelesbains.fr,,,,51-1000,Équipe informatique locale,2026-09-24
DLVA - Durance Luberon Verdon Agglomération (DSI),Public Sector,Manosque,https://www.dlva.fr,,,,51-1000,Équipe informatique locale,2026-09-24
Geosel Manosque,Industry,Manosque,https://www.geosel.fr,,,,51-1000,Équipe SI & télécontrôle industriel,2026-09-24
Groupama Méditerranée (Agence Manosque),Fintech / Insurtech,Manosque,https://www.groupama.fr,,,,1000+,Équipe informatique locale,2026-09-24
Innelec,E-commerce / Retail,Manosque,https://www.innelec.com,,,,51-1000,Systèmes d'information & logistique,2026-09-24
Koesio PACA (Agence Manosque),IT Services,Manosque,https://koesio.com,,,,11-50,ESN & services numériques,2026-09-24
L'Occitane en Provence (DSI & Digital Groupe),E-commerce / Retail,Manosque,https://fr.loccitane.com,,,,1000+,DSI groupe & e-commerce,2026-09-24
Manosque (Direction du Numérique),Public Sector,Manosque,https://www.ville-manosque.fr,,,,51-1000,Équipe informatique locale,2026-09-24
Orange (Direction Réseau Alpes du Sud),Telecom,Manosque,https://www.orange.fr,,,,1000+,Infrastructures réseaux & IT,2026-09-24
PACA THD (Syndicat Mixte Ouverte),Telecom,Digne-les-Bains,https://www.lafibre23.fr,,,,1-10,Infrastructures très haut débit,2026-09-24
Sogetrel Alpes-de-Haute-Provence,Telecom,Manosque,https://www.sogetrel.fr,,,,1000+,Infrastructures réseaux & télécoms,2026-09-24
Sud Provence Informatique,IT Services,Digne-les-Bains,https://www.sudprovence.fr,,,,1-10,Services informatiques & réseaux,2026-09-24
Xefi Digne-les-Bains,IT Services,Digne-les-Bains,https://www.xefi.fr,,,,1-10,Services informatiques & cloud,2026-09-24
Xefi Manosque,IT Services,Manosque,https://www.xefi.fr,,,,1-10,Services informatiques & cloud,2026-09-24
