name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
3D Ouest (Antenne),software,Gap,https://www.3douest.com,,,,11-50,Éditeur de logiciels secteur public,2026-09-24
Alpes Sud Informatique (ASI),it-services,Gap,https://www.asi05.fr,,,,1-10,ESN & infrastructures réseaux,2026-09-24
Aptar Digital Health,healthtech,Chorges,https://www.aptardigitalhealth.com,,,,11-50,Solutions logicielles e-santé,2026-09-24
Briançon (Direction du Numérique),public-sector,Briançon,https://www.ville-briancon.fr,,,,51-1000,Équipe informatique locale,2026-09-24
Caisse Régionale du Crédit Agricole Alpes Provence,banking,Gap,https://www.credit-agricole.fr/ca-alpesprovence/,,,,1000+,Équipe informatique locale,2026-09-24
Centre Hospitalier Intercommunal des Alpes du Sud (DSI),healthtech,Gap,https://www.chias.fr,,,,1000+,Équipe informatique hospitalière,2026-09-24
Cesi Insa (Centre de formation),edtech,Gap,https://www.cesi.fr,,,,51-1000,Formation métiers du numérique & SI,2026-09-24
Comète Informatique,it-services,Gap,https://www.comete-info.fr,,,,1-10,Services informatiques & infogérance,2026-09-24
Gap (Direction des Systèmes d'Information),public-sector,Gap,https://www.gap.fr,,,,51-1000,Équipe informatique locale,2026-09-24
Gaspard Informatique,it-services,Briançon,https://www.gaspard-informatique.com,,,,1-10,Services informatiques & réseau,2026-09-24
Groupama Méditerranée (Gestion Gap),insurance,Gap,https://www.groupama.fr,,,,1000+,Équipe informatique locale,2026-09-24
Hautes-Alpes Département (DSI),public-sector,Gap,https://www.hautes-alpes.fr,,,,1000+,Équipe informatique locale,2026-09-24
Hautes-Alpes Numérique (Paca THD),telecom,Gap,https://www.hautesalpesnumerique.fr,,,,1-10,Aménagement numérique & fibre,2026-09-24
IMS Networks (Agence Gap),it-services,Gap,https://www.imsnetworks.com,,,,51-1000,Cybersécurité & réseaux,2026-09-24
Izoard Informatique,it-services,Briançon,https://www.izoard-informatique.com,,,,1-10,Services informatiques de gestion,2026-09-24
Koesio PACA (Agence Gap),it-services,Gap,https://koesio.com,,,,11-50,ESN & services numériques,2026-09-24
L'Espace Numérique,it-services,Gap,https://www.espacenumerique.fr,,,,1-10,Conseil & ingénierie informatique,2026-09-24
Mythic Suites & Villas / Tech Services,software,Gap,https://www.mythic-suites.com,,,,11-50,Équipe SI & webmarketing,2026-09-24
Orange (Direction Réseau Hautes-Alpes),telecom,Gap,https://www.orange.fr,,,,1000+,Infrastructures réseaux & IT,2026-09-24
Réseau Serre Chevalier (Compagnie des Alpes),software,La Salle-les-Alpes,https://www.serre-chevalier.com,,,,51-1000,Systèmes d'information & billettique,2026-09-24
Sogetrel Hautes-Alpes,telecom,Gap,https://www.sogetrel.fr,,,,1000+,Infrastructures réseaux & télécoms,2026-09-24
Xefi Gap,it-services,Gap,https://www.xefi.fr,,,,1-10,Services informatiques & cloud,2026-09-24
