name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
Accenture,it-services,Sophia Antipolis,https://www.accenture.com,,,,,Conseil et services numériques,2026-09-25
Adentis,it-services,Sophia Antipolis,https://www.adentis.fr,,,,,Conseil en ingénierie,2026-09-25
Akkodis,it-services,Sophia Antipolis,https://www.akkodis.com,,,,1000+,ESN & ingénierie R&D,2026-09-24
Alpes-Maritimes Département (DSI),public-sector,Nice,https://www.departement06.fr,,,,1000+,Équipe informatique locale,2026-09-24
Alten,it-services,Sophia Antipolis,https://www.alten.com,,,,,Conseil en ingénierie et IT,2026-09-25
Amadeus,software,Sophia Antipolis,https://www.amadeus.com,,,,1000+,Éditeur SaaS & tech pour le voyage,2026-09-24
Apside,it-services,Sophia Antipolis,https://www.apside.com,,,,1000+,ESN & conseil en technologie,2026-09-24
ARM France,deeptech,Sophia Antipolis,https://www.arm.com,,,,51-1000,Conception microprocesseurs & R&D logicielle,2026-09-24
Astek,it-services,Sophia Antipolis,https://astekgroup.fr,,,,,Conseil en ingénierie et numérique,2026-09-25
Atos,it-services,Sophia Antipolis,https://atos.net,,,,1000+,ESN & services numériques,2026-09-24
AViSTO,software,Sophia Antipolis,https://www.avisto.com,,,,,Ingénierie logicielle,2026-09-25
Caisse Régionale du Crédit Agricole PCA,banking,Nice,https://www.credit-agricole.fr/ca-pca/,,,,1000+,Équipe informatique locale,2026-09-24
Capgemini,it-services,Sophia Antipolis,https://www.capgemini.com,,,,1000+,ESN & conseil en technologie,2026-09-24
CBTW,it-services,Sophia Antipolis,https://www.cb-tw.com,,,,,Conseil et ingénierie numérique,2026-09-25
CGI France,it-services,Sophia Antipolis,https://www.cgi.com/france,,,,1000+,ESN & conseil IT,2026-09-24
CHU de Nice (DSI),healthtech,Nice,https://www.chu-nice.fr,,,,1000+,Équipe informatique hospitalière,2026-09-24
Cisco Systems France,deeptech,Sophia Antipolis,https://www.cisco.com,,,,51-1000,R&D réseaux & cybersécurité,2026-09-24
Dolby Laboratories,software,Sophia Antipolis,https://www.dolby.com,,,,,R&D audio et logiciels,2026-09-25
Econocom,it-services,Sophia Antipolis,https://www.econocom.com,,,,1000+,ESN & services numériques,2026-09-24
Fortinet,cybersecurity,Sophia Antipolis,https://www.fortinet.com,,,,,Cybersécurité,2026-09-25
