name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
Akkodis,IT Services,Toulon,https://www.akkodis.com,,,,1000+,ESN & ingénierie R&D,2026-09-24
Application Systems Paris,Software,Hyères,https://www.application-systems.fr,,,,1-10,Éditeur & distributeur de logiciels,2026-09-24
Atos,IT Services,Toulon,https://atos.net,,,,1000+,ESN & défense/sécurité,2026-09-24
Caisse Régionale du Crédit Agricole PCA,Fintech / Insurtech,Draguignan,https://www.credit-agricole.fr/ca-pca/,,,,1000+,Équipe informatique locale,2026-09-24
Capgemini,IT Services,Toulon,https://www.capgemini.com,,,,1000+,ESN & conseil en technologie,2026-09-24
Centre Hospitalier Sainte-Musse (DSI),Healthtech,Toulon,https://www.ch-toulon.fr,,,,1000+,Équipe informatique hospitalière,2026-09-24
CGI France,IT Services,Toulon,https://www.cgi.com/france,,,,1000+,ESN & conseil IT,2026-09-24
Charlemagne,E-commerce / Retail,Toulon,https://www.librairiecharlemagne.com,,,,51-1000,Équipe SI & e-commerce,2026-09-24
CNIM Système Industriels,Industry,La Seyne-sur-Mer,https://cnim-systèmes-industriels.com,,,,51-1000,R&D & ingénierie logicielle défense,2026-09-24
Cyberiade,Software,Toulon,https://www.cyberiade.fr,,,,1-10,Éditeur de logiciels,2026-09-24
ECA Group (Exail),Deeptech,La Seyne-sur-Mer,https://www.exail.com,,,,51-1000,"Robotique, systèmes autonomes & IA",2026-09-24
Econocom,IT Services,Toulon,https://www.econocom.com,,,,1000+,ESN & services numériques,2026-09-24
IMS Networks,IT Services,Toulon,https://www.imsnetworks.com,,,,51-1000,Cybersécurité & opérateur télécom,2026-09-24
Ineo Defense (ENGIE Solutions),Telecom,Toulon,https://www.engie-solutions.com,,,,1000+,Systèmes de communication & sécurité,2026-09-24
Inria Centre Université Côte d'Azur (Antennes Var),Deeptech,Toulon,https://www.inria.fr,,,,51-1000,Institut de recherche en numérique,2026-09-24
Iroko,Software,Ollioules,https://www.iroko.io,,,,1-10,SaaS & solutions digitales,2026-09-24
Koesio PACA (Agence Toulon),IT Services,La Garde,https://koesio.com,,,,51-1000,ESN & services informatiques,2026-09-24
Marine Nationale (DSI / DirISI Toulon),Public Sector,Toulon,https://www.defense.gouv.fr,,,,1000+,DSI & infrastructures numériques de défense,2026-09-24
Naval Group (Site de Ollioules),Industry,Ollioules,https://www.naval-group.com,,,,1000+,"R&D, cyberdéfense & systèmes de combat",2026-09-24
Orange (Direction Régionale Var / Toulon),Telecom,Toulon,https://www.orange.fr,,,,1000+,Infrastructures réseaux & IT,2026-09-24
RATP Dev (Réseau Mistral),Software,Toulon,https://www.reseaumistral.com,,,,51-1000,Systèmes d'information transport,2026-09-24
SITV (Systèmes d'Information Toulon Var),IT Services,Toulon,https://www.sitv.fr,,,,11-50,ESN & infogérance,2026-09-24
Sogetrel Var,Telecom,Toulon,https://www.sogetrel.fr,,,,1000+,Infrastructures télécoms & sûreté,2026-09-24
Sopra Steria,IT Services,Toulon,https://www.soprasteria.com,,,,1000+,ESN & conseil du numérique,2026-09-24
Toulon Provence Méditerranée (DSI),Public Sector,Toulon,https://www.metropoletpm.fr,,,,1000+,Équipe informatique locale,2026-09-24
Université de Toulon (LIS / DSI),Deeptech,La Garde,https://www.univ-tln.fr,,,,1000+,"Laboratoire informatique, IA & DSI",2026-09-24
Var Département (DSI),Public Sector,Toulon,https://www.var.fr,,,,1000+,Équipe informatique locale,2026-09-24
Var Matin (Groupe Nice-Matin),E-commerce / Retail,Toulon,https://www.varmatin.com,,,,51-1000,Équipe SI & médias numériques,2026-09-24
Xefi Fréjus,IT Services,Fréjus,https://www.xefi.fr,,,,1-10,Services informatiques & cloud,2026-09-24
Xefi Toulon,IT Services,La Garde,https://www.xefi.fr,,,,11-50,Services informatiques & cloud,2026-09-24
