name,domain,city,website,careers_url,linkedin_url,known_stack,company_size,notes,last_verified
Akkodis,IT Services,Avignon,https://www.akkodis.com,,,,1000+,ESN & ingénierie R&D,2026-09-24
API Services,IT Services,Avignon,https://www.api-services.fr,,,,11-50,ESN & services informatiques,2026-09-24
Aptar Group (Site Le Pontet),Industry,Le Pontet,https://www.aptar.com,,,,1000+,Équipe SI industrielle locale,2026-09-24
Atos,IT Services,Avignon,https://atos.net,,,,1000+,ESN & services numériques,2026-09-24
Avenao (Groupe Prime Engineering),Software,Avignon,https://www.avenao.com,,,,51-1000,Intégrateur CAO & solutions PLM,2026-09-24
Avignon Université (LIA / DSI),Deeptech,Avignon,https://lia.univ-avignon.fr,,,,51-1000,Laboratoire Informatique d'Avignon (IA & NLP),2026-09-24
B2M,Software,Avignon,https://www.b2m.fr,,,,11-50,Éditeur ERP & intégrateur de gestion,2026-09-24
Caisse Régionale du Crédit Agricole Alpes Provence,Fintech / Insurtech,Avignon,https://www.credit-agricole.fr/ca-alpesprovence/,,,,1000+,Équipe informatique locale,2026-09-24
Capgemini,IT Services,Avignon,https://www.capgemini.com,,,,1000+,ESN & conseil en technologie,2026-09-24
Centre Hospitalier Henri Duffaut (DSI),Healthtech,Avignon,https://www.ch-avignon.fr,,,,1000+,Équipe informatique hospitalière,2026-09-24
CGI France,IT Services,Avignon,https://www.cgi.com/france,,,,1000+,ESN & conseil IT,2026-09-24
Delanchy Network (DSI),E-commerce / Retail,L'Isle-sur-la-Sorgue,https://www.delanchy.fr,,,,1000+,Équipe SI & logistique sous température dirigée,2026-09-24
Delta Plus Group,Industry,Apt,https://www.deltaplus.eu,,,,1000+,DSI groupe & e-commerce BtoB,2026-09-24
Econocom,IT Services,Avignon,https://www.econocom.com,,,,1000+,ESN & services numériques,2026-09-24
Grand Avignon (Direction des Systèmes d'Information),Public Sector,Avignon,https://www.grandavignon.fr,,,,51-1000,Équipe informatique locale,2026-09-24
GSE (Group),Industry,Avignon,https://www.gsegroup.com,,,,51-1000,Ingénierie BTP & modélisation BIM/BAM,2026-09-24
Innelec,E-commerce / Retail,Avignon,https://www.innelec.com,,,,51-1000,Distribution de produits informatiques & jeux vidéo,2026-09-24
INRAE PACA (Unité BioSP / DSI),Agtech,Avignon,https://www.inrae.fr,,,,1000+,R&D modélisation stochastique & datamining,2026-09-24
Koesio PACA,IT Services,Avignon,https://koesio.com,,,,51-1000,ESN & intégrateur de solutions numériques,2026-09-24
LTA Informatique,Software,Carpentras,https://www.lta-informatique.fr,,,,1-10,Éditeur de logiciels de gestion,2026-09-24
McCormick France (Ducros / Vahiné - DSI),Industry,Avignon,https://www.mccormick.com,,,,1000+,Équipe SI industrielle locale,2026-09-24
Naturex (Groupe Givaudan),Healthtech,Avignon,https://www.givaudan.com,,,,1000+,Équipe SI & R&D agro-ingénierie,2026-09-24
Net System,IT Services,Avignon,https://www.netsystem.fr,,,,11-50,Conseil SI & cybersécurité,2026-09-24
Orange (Direction Régionale PACA - Agence Avignon),Telecom,Avignon,https://www.orange.fr,,,,1000+,Infrastructures réseaux & IT,2026-09-24
ORPHEA,Software,Avignon,https://www.orphea.com,,,,11-50,Éditeur SaaS Digital Asset Management (DAM),2026-09-24
Pink Platform,Software,Avignon,https://www.pinkplatform.com,,,,1-10,SaaS & solutions web pour l'événementiel,2026-09-24
SEI (Société d'Études Informatiques),Software,Avignon,https://www.sei-informatique.com,,,,11-50,Éditeur de logiciels pour l'agroalimentaire,2026-09-24
Sogetrel Vaucluse,Telecom,Avignon,https://www.sogetrel.fr,,,,1000+,Infrastructures télécoms & sûreté numérique,2026-09-24
Solabaie / Groupe Atlantem,Industry,Saint-Saturnin-lès-Avignon,https://www.atlantem.fr,,,,1000+,Équipe SI industrielle locale,2026-09-24
Sopra Steria,IT Services,Avignon,https://www.soprasteria.com,,,,1000+,ESN & conseil du numérique,2026-09-24
Synthesio (Groupe Ipsos),Software,Avignon,https://www.synthesio.com,,,,51-1000,SaaS social listening & AI analytics,2026-09-24
Vaucluse Département (DSI),Public Sector,Avignon,https://www.vaucluse.fr,,,,1000+,Équipe informatique locale,2026-09-24
Xefi Avignon,IT Services,Avignon,https://www.xefi.fr,,,,11-50,"Services informatiques, hébergement & cloud",2026-09-24
Xefi Orange,IT Services,Orange,https://www.xefi.fr,,,,1-10,Services informatiques & cloud,2026-09-24
